time	minute	gamePid	loginPid	gameCpuSeconds	gameWorkingSetBytes	gameThreads	heapUsedM	heapMaxM	heapPercent	dbConnections	managed	linked	distinctNames	distinctAccounts	duplicateNames	duplicateAccounts	fatalMarkers
2026-09-26T18:01:54+03:00	0	28376	27700	190,53	4620316672	163	3238	4096	79,05	14	1282	1280	1280	1280	0	0	0
2026-09-26T18:03:57+03:00	1	28376	27700	212,89	4629037056	162	3472	4096	84,77	14	1352	1350	1350	1350	0	0	0
2026-09-26T18:04:49+03:00	2	28376	27700	220,72	4629639168	160	3782	4096	92,33	14	1382	1380	1380	1380	0	0	0
2026-09-26T18:05:41+03:00	3	28376	27700	231,17	4631457792	161	3780	4096	92,29	14	1411	1409	1409	1409	0	0	0
2026-09-26T18:06:32+03:00	4	28376	27700	240,42	4630523904	161	3306	4096	80,71	13	1440	1438	1438	1438	0	0	0
2026-09-26T18:07:24+03:00	5	28376	27700	250,44	4631171072	161	3584	4096	87,5	14	1470	1468	1468	1468	0	0	0
2026-09-26T18:08:16+03:00	6	28376	27700	263,38	4622831616	162	3608	4096	88,09	13	1496	1494	1494	1494	0	0	0
2026-09-26T18:09:07+03:00	7	28376	27700	274,05	4623634432	162	3444	4096	84,08	13	1524	1522	1522	1522	0	0	0
2026-09-26T18:09:59+03:00	8	28376	27700	285,02	4624752640	160	3352	4096	81,84	13	1554	1552	1552	1552	0	0	0
2026-09-26T18:10:51+03:00	9	28376	27700	295,34	4623642624	161	3800	4096	92,77	14	1582	1580	1580	1580	0	0	0
2026-09-26T18:11:43+03:00	10	28376	27700	305,2	4597493760	161	3320	4096	81,05	14	1610	1608	1608	1608	0	0	0
2026-09-26T18:12:34+03:00	11	28376	27700	315,48	4596420608	161	3352	4096	81,84	15	1636	1634	1634	1634	0	0	0
2026-09-26T18:13:26+03:00	12	28376	27700	328,95	4596633600	163	3750	4096	91,55	15	1664	1662	1662	1662	0	0	0
2026-09-26T18:14:17+03:00	13	28376	27700	338,27	4597620736	160	3768	4096	91,99	13	1692	1690	1690	1690	0	0	0
2026-09-26T18:15:09+03:00	14	28376	27700	349,22	4597985280	160	3312	4096	80,86	13	1720	1718	1718	1718	0	0	0
2026-09-26T18:16:01+03:00	15	28376	27700	358,97	4596932608	160	3622	4096	88,43	14	1748	1746	1746	1746	0	0	0
2026-09-26T18:16:53+03:00	16	28376	27700	369,81	4597911552	160	3518	4096	85,89	13	1774	1772	1772	1772	0	0	0
2026-09-26T18:17:44+03:00	17	28376	27700	382,88	4597006336	160	3320	4096	81,05	13	1800	1798	1798	1798	0	0	0
2026-09-26T18:18:36+03:00	18	28376	27700	398,38	4602867712	160	3526	4096	86,08	14	1828	1826	1826	1826	0	0	0
2026-09-26T18:19:28+03:00	19	28376	27700	409,38	4602925056	160	3516	4096	85,84	14	1856	1854	1854	1854	0	0	0
2026-09-26T18:20:20+03:00	20	28376	27700	420,61	4603969536	160	3578	4096	87,35	13	1884	1882	1882	1882	0	0	0
2026-09-26T18:21:11+03:00	21	28376	27700	431,61	4602949632	160	3282	4096	80,13	13	1912	1910	1910	1910	0	0	0
2026-09-26T18:22:03+03:00	22	28376	27700	442,61	4594323456	160	3540	4096	86,43	13	1938	1936	1936	1936	0	0	0
2026-09-26T18:22:55+03:00	23	28376	27700	454,06	4593135616	160	3544	4096	86,52	13	1966	1964	1964	1964	0	0	0
2026-09-26T18:23:47+03:00	24	28376	27700	469,41	4587401216	160	3636	4096	88,77	13	1992	1990	1990	1990	0	0	0
2026-09-26T18:24:38+03:00	25	28376	27700	484,48	4588400640	160	3394	4096	82,86	14	2018	2016	2016	2016	0	0	0
2026-09-26T18:25:30+03:00	26	28376	27700	497,77	4588691456	160	3674	4096	89,7	13	2046	2044	2044	2044	0	0	0
2026-09-26T18:26:22+03:00	27	28376	27700	512,52	4588634112	160	3782	4096	92,33	14	2072	2070	2070	2070	0	0	0
2026-09-26T18:27:14+03:00	28	28376	27700	524,98	4588883968	162	3594	4096	87,74	14	2098	2096	2096	2096	0	0	0
2026-09-26T18:28:06+03:00	29	28376	27700	547,12	4587651072	160	3730	4096	91,06	14	2121	2119	2119	2119	0	0	0
