coverage_key	level_min	level_max	source_path	source_family	current_anchor_status	published	component_id	walk_reachable	normal_gk_reachable	primary_blocker	secondary_blocker	nearest_reachable_component_distance	candidate_factual_bridge_kind	evidence_refs
001430d39e5d91b4bc4520d1ce07359f79edaaa0ed6b835b9f646fd199a5296b	12	14	data/spawns/ElvenTerritory/ElvenStarting.xml	ElvenTerritory	PLANNER_TARGET_DISTANCE	false		false	false	PLANNER_TARGET_DISTANCE	PLANNER_TARGET_DISTANCE	23005	NONE_PROVEN	WORLD_COVERAGE.tsv:001430d39e5d91b4bc4520d1ce07359f79edaaa0ed6b835b9f646fd199a5296b|TOPOLOGY_CANDIDATES.tsv:001430d39e5d91b4bc4520d1ce07359f79edaaa0ed6b835b9f646fd199a5296b|ANCHOR_GEODATA_VALIDATION.tsv:001430d39e5d91b4bc4520d1ce07359f79edaaa0ed6b835b9f646fd199a5296b|data/spawns/ElvenTerritory/ElvenStarting.xml
003ce483f1390dd1f2c565980b102a4765c8263bc583596c4fcf793eb2b85ae1	67	69	data/spawns/Aden/TowerOfInsolence.xml	Aden	CLOSED_SOURCE_NO_DOOR_PATH	false		false	false	CLOSED_SOURCE_ENTRANCE_REQUIRED	DOOR_ROOM_MODEL_REQUIRED	73039	NONE_PROVEN	WORLD_COVERAGE.tsv:003ce483f1390dd1f2c565980b102a4765c8263bc583596c4fcf793eb2b85ae1|TOPOLOGY_CANDIDATES.tsv:003ce483f1390dd1f2c565980b102a4765c8263bc583596c4fcf793eb2b85ae1|ANCHOR_GEODATA_VALIDATION.tsv:003ce483f1390dd1f2c565980b102a4765c8263bc583596c4fcf793eb2b85ae1|data/spawns/Aden/TowerOfInsolence.xml
004bf9b0681c8a71c852b23187e8672ae8348909b155a1eba70b23a4e034529e	70	71	data/spawns/Goddard/GardenOfBeasts.xml	Goddard	VALID	true	component.ce676c26ec2eab0f6b2406e8	false	false	OPEN_COMPONENT_DISCONNECTED	NO_PROVEN_COMPONENT_BRIDGE	123189	ADAPTIVE_GEODATA_PROBE_REQUIRED	WORLD_COVERAGE.tsv:004bf9b0681c8a71c852b23187e8672ae8348909b155a1eba70b23a4e034529e|TOPOLOGY_CANDIDATES.tsv:004bf9b0681c8a71c852b23187e8672ae8348909b155a1eba70b23a4e034529e|ANCHOR_GEODATA_VALIDATION.tsv:004bf9b0681c8a71c852b23187e8672ae8348909b155a1eba70b23a4e034529e|data/spawns/Goddard/GardenOfBeasts.xml
007050947db80bb33f6da5413c4687dc1986d402cbcbf213991aa408a07c7087	50	53	data/spawns/Oren/OutlawForest.xml	Oren	PLANNER_TARGET_DISTANCE	false		false	false	PLANNER_TARGET_DISTANCE	PLANNER_TARGET_DISTANCE	60165	NONE_PROVEN	WORLD_COVERAGE.tsv:007050947db80bb33f6da5413c4687dc1986d402cbcbf213991aa408a07c7087|TOPOLOGY_CANDIDATES.tsv:007050947db80bb33f6da5413c4687dc1986d402cbcbf213991aa408a07c7087|ANCHOR_GEODATA_VALIDATION.tsv:007050947db80bb33f6da5413c4687dc1986d402cbcbf213991aa408a07c7087|data/spawns/Oren/OutlawForest.xml
007f9057c1ee101b364fff575b64ba8bb3817d44223c54f6a2dac1dcdd34446e	67	67	data/spawns/Goddard/GardenOfBeasts.xml	Goddard	VALID	true	component.9ea4a637759a687e9132992f	false	false	OPEN_COMPONENT_DISCONNECTED	NO_PROVEN_COMPONENT_BRIDGE	129299	ADAPTIVE_GEODATA_PROBE_REQUIRED	WORLD_COVERAGE.tsv:007f9057c1ee101b364fff575b64ba8bb3817d44223c54f6a2dac1dcdd34446e|TOPOLOGY_CANDIDATES.tsv:007f9057c1ee101b364fff575b64ba8bb3817d44223c54f6a2dac1dcdd34446e|ANCHOR_GEODATA_VALIDATION.tsv:007f9057c1ee101b364fff575b64ba8bb3817d44223c54f6a2dac1dcdd34446e|data/spawns/Goddard/GardenOfBeasts.xml
00895e404b31f67da0a7dbfc58189561395869195ad1b2d29a3cc50971fefc81	48	49	data/spawns/Hunters/EnchantedValley.xml	Hunters	VALID	true	component.f7992a1119698ffb54c21fe0	false	false	OPEN_COMPONENT_DISCONNECTED	NO_PROVEN_COMPONENT_BRIDGE	63979	ADAPTIVE_GEODATA_PROBE_REQUIRED	WORLD_COVERAGE.tsv:00895e404b31f67da0a7dbfc58189561395869195ad1b2d29a3cc50971fefc81|TOPOLOGY_CANDIDATES.tsv:00895e404b31f67da0a7dbfc58189561395869195ad1b2d29a3cc50971fefc81|ANCHOR_GEODATA_VALIDATION.tsv:00895e404b31f67da0a7dbfc58189561395869195ad1b2d29a3cc50971fefc81|data/spawns/Hunters/EnchantedValley.xml
00e29a534fa1355275206452eff844735262b6f485acf6df4197b520e6a119a0	64	67	data/spawns/Rune/ValleyOfSaints.xml	Rune	PLANNER_TARGET_DISTANCE	false		false	false	PLANNER_TARGET_DISTANCE	PLANNER_TARGET_DISTANCE	90668	NONE_PROVEN	WORLD_COVERAGE.tsv:00e29a534fa1355275206452eff844735262b6f485acf6df4197b520e6a119a0|TOPOLOGY_CANDIDATES.tsv:00e29a534fa1355275206452eff844735262b6f485acf6df4197b520e6a119a0|ANCHOR_GEODATA_VALIDATION.tsv:00e29a534fa1355275206452eff844735262b6f485acf6df4197b520e6a119a0|data/spawns/Rune/ValleyOfSaints.xml
00e6dc6ffd09813c59b5a8f31fc960bf6b82266038f691468f02c532ed938a06	45	47	data/spawns/Innadril/GardenOfEva.xml	Innadril	VALID	true	component.9b6870567583043cb3038156	false	false	OPEN_COMPONENT_DISCONNECTED	NO_PROVEN_COMPONENT_BRIDGE	150954	ADAPTIVE_GEODATA_PROBE_REQUIRED	WORLD_COVERAGE.tsv:00e6dc6ffd09813c59b5a8f31fc960bf6b82266038f691468f02c532ed938a06|TOPOLOGY_CANDIDATES.tsv:00e6dc6ffd09813c59b5a8f31fc960bf6b82266038f691468f02c532ed938a06|ANCHOR_GEODATA_VALIDATION.tsv:00e6dc6ffd09813c59b5a8f31fc960bf6b82266038f691468f02c532ed938a06|data/spawns/Innadril/GardenOfEva.xml
00f509a79fc457d7db58304825615a3ffa482cc4ec5c45fecd99a890450dce00	30	34	data/spawns/Dion/BeeHive.xml	Dion	PLANNER_TARGET_DISTANCE	false		false	false	PLANNER_TARGET_DISTANCE	PLANNER_TARGET_DISTANCE	114778	NONE_PROVEN	WORLD_COVERAGE.tsv:00f509a79fc457d7db58304825615a3ffa482cc4ec5c45fecd99a890450dce00|TOPOLOGY_CANDIDATES.tsv:00f509a79fc457d7db58304825615a3ffa482cc4ec5c45fecd99a890450dce00|ANCHOR_GEODATA_VALIDATION.tsv:00f509a79fc457d7db58304825615a3ffa482cc4ec5c45fecd99a890450dce00|data/spawns/Dion/BeeHive.xml
01135f3ab432f7e089e90637f72a04055cc73e1007f9d93249ec9e5263b217f3	75	80	data/spawns/Others/KrateisCube.xml	Others	VALID	true	component.86c19315b2691d6afedb755e	false	false	OPEN_COMPONENT_DISCONNECTED	NO_PROVEN_COMPONENT_BRIDGE	40193	ADAPTIVE_GEODATA_PROBE_REQUIRED	WORLD_COVERAGE.tsv:01135f3ab432f7e089e90637f72a04055cc73e1007f9d93249ec9e5263b217f3|TOPOLOGY_CANDIDATES.tsv:01135f3ab432f7e089e90637f72a04055cc73e1007f9d93249ec9e5263b217f3|ANCHOR_GEODATA_VALIDATION.tsv:01135f3ab432f7e089e90637f72a04055cc73e1007f9d93249ec9e5263b217f3|data/spawns/Others/KrateisCube.xml
