coverage_key	candidate_status	ownership	node_id	anchor_id	node_kind	instance_id	geometry_kind	source_geometry	anchor_x	anchor_y	anchor_z	anchor_provenance	anchor_validation	npc_ids	npc_level_min	npc_level_max	map_region_loc_id	existing_core_ids	source_refs
001430d39e5d91b4bc4520d1ce07359f79edaaa0ed6b835b9f646fd199a5296b	NEEDS_ANCHOR_GEODATA	GENERATED_CANDIDATE	generated.farm.001430d39e5d91b4bc4520d1	generated.farm.001430d39e5d91b4bc4520d1.anchor	FARMING_AREA	0	NPOLY	territory:-3784:-3534:19556,45892|16660,42540|15300,42092|14240,44720|15880,47620|21168,49744					NEEDS_GEODATA	20013|20019|20472	12	14	914		data/spawns/ElvenTerritory/ElvenStarting.xml
003ce483f1390dd1f2c565980b102a4765c8263bc583596c4fcf793eb2b85ae1	NEEDS_ANCHOR_GEODATA	GENERATED_CANDIDATE	generated.farm.003ce483f1390dd1f2c56598	generated.farm.003ce483f1390dd1f2c56598.anchor	FARMING_AREA	0	NPOLY	territory:888:1088:115292,13272|116168,13640|115680,14388|115132,14172					NEEDS_GEODATA	20824|20825|21061	67	69	924		data/spawns/Aden/TowerOfInsolence.xml
004bf9b0681c8a71c852b23187e8672ae8348909b155a1eba70b23a4e034529e	NEEDS_ANCHOR_GEODATA	GENERATED_CANDIDATE	generated.farm.004bf9b0681c8a71c852b231	generated.farm.004bf9b0681c8a71c852b231.anchor	FARMING_AREA	0	NPOLY	territory:-3306:-3106:135338,-48781|135838,-49353|137246,-48673|136358,-48125					NEEDS_GEODATA	21287|21292	70	71	1538		data/spawns/Goddard/GardenOfBeasts.xml
007050947db80bb33f6da5413c4687dc1986d402cbcbf213991aa408a07c7087	NEEDS_ANCHOR_GEODATA	GENERATED_CANDIDATE	generated.farm.007050947db80bb33f6da541	generated.farm.007050947db80bb33f6da541.anchor	FARMING_AREA	0	NPOLY	territory:-3572:-2772:85596,-7840|87040,-6392|86220,-2732|84700,-3000|81696,-8144					NEEDS_GEODATA	20161|20241|20573|20574|21261	50	53	922		data/spawns/Oren/OutlawForest.xml
007f9057c1ee101b364fff575b64ba8bb3817d44223c54f6a2dac1dcdd34446e	NEEDS_ANCHOR_GEODATA	GENERATED_CANDIDATE	generated.farm.007f9057c1ee101b364fff57	generated.farm.007f9057c1ee101b364fff57.anchor	FARMING_AREA	0	NPOLY	territory:-3591:-3191:155518,-49861|156150,-49749|155586,-48949|154914,-49145|155214,-49641					NEEDS_GEODATA	21274|21276	67	67	1538		data/spawns/Goddard/GardenOfBeasts.xml
00895e404b31f67da0a7dbfc58189561395869195ad1b2d29a3cc50971fefc81	NEEDS_ANCHOR_GEODATA	GENERATED_CANDIDATE	generated.farm.00895e404b31f67da0a7dbfc	generated.farm.00895e404b31f67da0a7dbfc.anchor	FARMING_AREA	0	NPOLY	territory:-4616:-4116:109992,57248|112444,57388|112156,58296|108864,58292|109032,57696					NEEDS_GEODATA	20592|20593	48	49	923		data/spawns/Hunters/EnchantedValley.xml
00e29a534fa1355275206452eff844735262b6f485acf6df4197b520e6a119a0	NEEDS_ANCHOR_GEODATA	GENERATED_CANDIDATE	generated.farm.00e29a534fa1355275206452	generated.farm.00e29a534fa1355275206452.anchor	FARMING_AREA	0	NPOLY	territory:-3741:-3241:86957,-85894|87782,-85715|88577,-85084|88513,-84165|88777,-83258|88762,-82791|88358,-82471|85617,-82893|85529,-85318					NEEDS_GEODATA	21530|21531|21532|21533|21544	64	67	1537		data/spawns/Rune/ValleyOfSaints.xml
00e6dc6ffd09813c59b5a8f31fc960bf6b82266038f691468f02c532ed938a06	READY_FOR_GEODATA	GENERATED_CANDIDATE	generated.farm.00e6dc6ffd09813c59b5a8f3	generated.farm.00e6dc6ffd09813c59b5a8f3.anchor	FARMING_AREA	0	MIXED	territory:-9891:-9691:81028,256474|80871,256937|78571,255278|79016,255033;points=79116,255225,-9840|80589,256629,-9840	79116	255225	-9840	data/spawns/Innadril/GardenOfEva.xml#npc:20798	NEEDS_GEODATA	20798|20799|20800	45	47	926		data/spawns/Innadril/GardenOfEva.xml
00f509a79fc457d7db58304825615a3ffa482cc4ec5c45fecd99a890450dce00	NEEDS_ANCHOR_GEODATA	GENERATED_CANDIDATE	generated.farm.00f509a79fc457d7db583048	generated.farm.00f509a79fc457d7db583048.anchor	FARMING_AREA	0	NPOLY	territory:-3803:-2603:18901,183727|18505,181619|20114,180171|23435,183518|21520,185588					NEEDS_GEODATA	20928|20929|20930	30	34	917		data/spawns/Dion/BeeHive.xml
01135f3ab432f7e089e90637f72a04055cc73e1007f9d93249ec9e5263b217f3	NEEDS_ANCHOR_GEODATA	GENERATED_CANDIDATE	generated.farm.01135f3ab432f7e089e90637	generated.farm.01135f3ab432f7e089e90637.anchor	FARMING_AREA	0	NPOLY	territory:-8431:-8181:-86433,-86348|-85380,-86348|-85363,-85275|-86450,-85275					NEEDS_GEODATA	18585|18586|18587|18588|18589|18590|18591|18592	75	80	2259		data/spawns/Others/KrateisCube.xml
