coverage_key	family	status	candidate_index	anchor_x	anchor_y	anchor_z	local_x	local_y	local_z	attempts	collision_proof
003ce483f1390dd1f2c565980b102a4765c8263bc583596c4fcf793eb2b85ae1	TOWER_OF_INSOLENCE	VALID	1	115568	13868	928	115584	13868	928	1	STATIC_XML_CLEAR
01196fc406e6183446f2b1c4d9b3bed31d6fb0d1855ceda8c3f715f4b2a67b4f	TOWER_OF_INSOLENCE	VALID	1	112925	17804	928	112941	17804	928	1	STATIC_XML_CLEAR
018e0d62812dab482b8e9b660170a05ced934711f05188df1d023664ef6e1b58	SSQ_CATACOMBS_NECROPOLIS	VALID	1	142864	82392	-5424	142880	82392	-5424	1	STATIC_XML_CLEAR
01b1defa9522009b05e93ef24bdada3dc0bff4185eb02e7ee1b10dffc08f3433	SSQ_CATACOMBS_NECROPOLIS	VALID	1	53340	123533	-5408	53356	123533	-5408	1	STATIC_XML_CLEAR
021822d8a1cb8c1c2a32ea67d313672c0050f2b59ffad0b9e49f785e635adb16	SSQ_CATACOMBS_NECROPOLIS	VALID	1	-21387	81972	-5168	-21371	81972	-5168	1	STATIC_XML_CLEAR
0251d78e20131518ee9f324d0837b78f5748a549b99cbbcef4ab1b395db08918	SSQ_CATACOMBS_NECROPOLIS	VALID	1	50944	116752	-5408	50960	116752	-5408	1	STATIC_XML_CLEAR
02ba0f777f16cfc2ec39483b47b9c0d10fa018278b2901f14d50dc876e21f277	SSQ_CATACOMBS_NECROPOLIS	VALID	1	-51918	83708	-4736	-51902	83708	-4736	1	STATIC_XML_CLEAR
02f3460b46ad2daccf3455d47afc90fc1a09f7d3ebe720d158edbd712be9f361	DEVILS_ISLE	VALID	1	50882	211620	-3024	50898	211620	-3024	1	STATIC_XML_CLEAR
0342f2ab29359668ef4eb46b5b9976e5cf11976d2c486f81c43bc9c2785dba8f	TOWER_OF_INSOLENCE	VALID	1	114647	16068	-2120	114663	16068	-2120	1	STATIC_XML_CLEAR
04199f10955f0df4ab3ac51c581586554a9794e478f60a5b3302cdea5d9b8999	SSQ_CATACOMBS_NECROPOLIS	VALID	1	-45798	217231	-5080	-45782	217231	-5080	1	STATIC_XML_CLEAR
047e45cfcece79be9e9372d1a84667df59730b1568819515811f589b23d27ee6	SSQ_CATACOMBS_NECROPOLIS	VALID	1	53188	113239	-5408	53204	113239	-5408	1	STATIC_XML_CLEAR
0561637d99bf779d51d7d3167933861f5d2116b4fe5c41d950173a1b86763961	SSQ_CATACOMBS_NECROPOLIS	VALID	1	-43504	79486	-4736	-43488	79486	-4736	1	STATIC_XML_CLEAR
0570910db17d9f20a9d86883f3b33b5d3ea8966bad3d5a12711d927830449601	SSQ_CATACOMBS_NECROPOLIS	VALID	1	16323	-248197	-9576	16339	-248197	-9576	1	STATIC_XML_CLEAR
05bbbe1f28986b0a9c5cc4d065f30252b3d0395e00c439a99235489800c85758	SSQ_CATACOMBS_NECROPOLIS	VALID	1	-20218	-246174	-8160	-20202	-246174	-8160	1	STATIC_XML_CLEAR
06ce1343592e93889b5c235279c9658a0d0f3d3eb2915207fee0c83a24e24164	IVORY_TOWER	VALID	1	95459	13873	-3512	95475	13873	-3512	1	STATIC_XML_CLEAR
06de56e48e26f447faba1eec721d92abf4957d60c24c0b6fc537f2f3077bbe94	TOWER_OF_INSOLENCE	VALID	1	116334	14373	928	116350	14373	928	1	STATIC_XML_CLEAR
06fee8bd847287fd403eda1bae341e137fcd793b8841cf366dfcce412b2e3c64	TOWER_OF_INSOLENCE	VALID	1	115156	17252	3960	115172	17252	3960	1	STATIC_XML_CLEAR
0717538beb7cf9175429ef4cce0943160fa5d194492485a831862b7898d53416	SSQ_CATACOMBS_NECROPOLIS	VALID	1	-50709	-246291	-7904	-50693	-246291	-7904	1	STATIC_XML_CLEAR
072a51911bfa6e6e8cfd555c2f8739004fdf6d54fb157714cee943f9f744a053	SSQ_CATACOMBS_NECROPOLIS	VALID	1	-14510	-242720	-8160	-14494	-242720	-8160	1	STATIC_XML_CLEAR
0745e827a771da9f6703d96bbd4de8f472ff4dc2330eec59eb48571d0fa5ab59	SSQ_CATACOMBS_NECROPOLIS	VALID	1	46577	178404	-4976	46593	178404	-4976	1	STATIC_XML_CLEAR
08c523a999bdf66ad7dea0a09490222fa3a336b438912802ca0b0a618d9a514a	DEVILS_ISLE	VALID	1	41607	201162	-4336	41623	201162	-4336	1	STATIC_XML_CLEAR
09edc98c74eb257722cb0c34e5609edf579db2b95d3dd3d07be8d3d0de716aee	IMPERIAL_TOMB	VALID	1	189447	-78098	-7256	189463	-78098	-7256	1	STATIC_XML_CLEAR
0a2b26ef7a2e17ed34fa3acf32eb840cf4fc147085eabaacf42faf1674a21933	SSQ_CATACOMBS_NECROPOLIS	VALID	1	17584	-248473	-9576	17600	-248473	-9576	1	STATIC_XML_CLEAR
0aa79d67e281338055910dfd67c12790147f5bb13de51275e3f05f3be76ef684	SSQ_CATACOMBS_NECROPOLIS	VALID	1	-46229	83706	-4736	-46213	83706	-4736	1	STATIC_XML_CLEAR
0ac141f2d795f5695b18d40a6f99375d3215e37b2944778c1f91823987e055bf	IMPERIAL_TOMB	VALID	1	181429	-78686	-2728	181445	-78686	-2728	1	STATIC_XML_CLEAR
0b1f91e21cb2b235abb8b3eb20a445ea87670d29a906df5f912a90841ead973a	DEVILS_ISLE	VALID	1	49082	214093	-3424	49098	214093	-3424	1	STATIC_XML_CLEAR
0b678446de013db1e8a875b00818ed3c9e7490f4e5f257843ee44b39d3fb6752	SSQ_CATACOMBS_NECROPOLIS	VALID	1	-51918	81564	-4736	-51902	81564	-4736	1	STATIC_XML_CLEAR
